effortid,date,year,month,day,population,area,section,activity,timestart,effort,observers,observernames,precip,cloud,windspeed,air,water,notchcode,turtleid,idquestionable,idcomments,obsid,method,utme,utmn,spatialproof,accuracy,accuracyDistance,sex,AgeAtCapture
2004,2007-04-22,2007,4,22,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:30:00,80,2,"Jeffie McNeil, Troy Frech",None,10,Light,17,9,"2,3-8,11",394,0,,40845,Visual survey,334444,4922395,0,,,F,20+
2023,2007-06-10,2007,6,10,ML (McGowan Lake),EB (East Brook),C3 (Cove 3),Set Traps,11:50:00,140,2,"Jeffie McNeil, Troy Frech",None,90,Light,25,23,"2,3-2,3",384,0,,40889,Incidental to trapping,337052,4922358,1,Point,10,F,20+
2047,2007-06-14,2007,6,14,ML (McGowan Lake),EB (East Brook),C3 (Cove 3),Radio Tracking,19:30:00,60,2,"Jeffie McNeil, Tara Imlay",None,0,Light,17,19,"2,3-2,3",384,0,,40924,Incidental to radio tracking,336837,4922337,1,Point,10,F,20+
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Radio Tracking,14:30:00,60,2,"Jeffie McNeil, Troy Frech",None,60,Moderate,17,12,unknown,718,0,,41185,Incidental to radio tracking,337252,4922791,1,Point,10,,20+
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Radio Tracking,14:30:00,60,2,"Jeffie McNeil, Troy Frech",None,60,Moderate,17,12,unknown,718,0,,41186,Incidental to radio tracking,337252,4922791,1,Point,10,,20+
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Visual Survey,15:00:00,220,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,17,0,"8-8,11",638,0,,41189,Visual survey,337261,4922793,1,Point,10,F,
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Visual Survey,15:00:00,220,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,17,0,"2,9-1,2",420,0,,41190,Visual survey,337251,4922797,1,Point,10,M,20+
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Visual Survey,15:00:00,220,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,17,0,"8-3,10",631,0,,41191,Visual survey,337256,4922791,1,Point,10,F,
2327,2007-10-21,2007,10,21,ML (McGowan Lake),EB (East Brook),M2 (Meadow 2),Visual Survey,15:00:00,220,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,17,0,"2,9-1,8",422,0,,41192,Visual survey,337256,4922791,1,Point,10,M,
2338,2007-10-23,2007,10,23,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:05:00,20,1,Jeffie McNeil,None,50,Moderate,23,13,"8-9,11",642,0,,41204,Visual survey,334441,4922390,1,Point,10,F,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"8-10,11",622,0,,41465,Visual survey,334460,4922399,1,Within section,25,F,
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"8-9,11",642,0,,41466,Visual survey,334460,4922399,1,Point,10,F,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"11-3,8",270,0,,41467,Visual survey,334460,4922399,1,Point,10,M,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"11-1,2",257,0,,41468,Visual survey,334437,4922386,1,Point,10,M,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,unknown,718,0,,41469,Visual survey,334443,4922386,1,Within section,25,,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,unknown,718,0,,41470,Visual survey,334443,4922386,1,Within section,25,,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"2,3-8,10",393,0,,41471,Visual survey,334442,4922388,1,Point,10,M,
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,unknown,718,0,,41472,Visual survey,334461,4922397,1,Within section,25,,20+
2644,2008-04-08,2008,4,8,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:40:00,140,1,Jeffie McNeil,None,0,Calm,18,5,"1,12-1,11",132,0,,41473,Visual survey,334461,4922397,1,Point,10,,5
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"9-3,8",705,0,,41474,Visual survey,334449,4922393,1,Point,10,F,20+
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"11-3,8",270,0,,41475,Visual survey,334463,4922402,1,Point,10,M,20+
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"2,3-2,9",386,0,,41476,Visual survey,334434,4922392,1,Point,10,M,
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"2,3-8,10",393,0,,41477,Visual survey,334434,4922392,1,Point,10,M,
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"11-2,8",266,0,,41478,Visual survey,334437,4922386,1,Point,10,F,20+
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"11-1,2",257,0,,41479,Visual survey,334449,4922391,1,Point,10,M,20+
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,"8-9,11",642,0,,41480,Visual survey,334462,4922396,1,Point,10,F,20+
2645,2008-04-09,2008,4,9,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:00:00,150,1,Jeffie McNeil,None,20,Calm,20,4,0-11,77,0,,41481,Visual survey,334443,4922387,1,Point,10,M,20+
2646,2008-04-16,2008,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,10:45:00,135,3,"Rachel Thibodeau, Jeffie McNeil, Andree-Anne Halle",None,0,Calm,15,4,"8-3,9",635,0,"Verified with photos that this is indeed 8-3,9.",41483,Visual survey,334430,4922362,1,Point,10,M,
2646,2008-04-16,2008,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,10:45:00,135,3,"Rachel Thibodeau, Jeffie McNeil, Andree-Anne Halle",None,0,Calm,15,4,"11-2,8",266,0,,41484,Visual survey,334441,4922393,1,Point,10,F,20+
2646,2008-04-16,2008,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,10:45:00,135,3,"Rachel Thibodeau, Jeffie McNeil, Andree-Anne Halle",None,0,Calm,15,4,"2,3-8,10",393,0,,41485,Visual survey,334432,4922394,1,Point,10,M,
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"11-2,8",266,0,,41486,Incidental to radio tracking,334430,4922390,1,Point,10,F,20+
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"9-3,8",705,0,,41487,Incidental to radio tracking,334440,4922390,1,Within section,25,F,20+
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"2,3-8,10",393,0,,41489,Incidental to radio tracking,334437,4922396,1,Point,10,M,
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"2,3-8,11",394,0,,41490,Incidental to radio tracking,334471,4922397,1,Point,10,F,20+
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"1,3-2,11",153,0,,41491,Incidental to radio tracking,334449,4922398,1,Point,10,,13
2647,2008-04-17,2008,4,17,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Radio Tracking,13:26:00,129,1,Jeffie McNeil,None,0,Calm,20,10,"2,10-1,3",304,0,,41493,Incidental to radio tracking,334445,4922400,1,Point,10,F,19
2648,2008-04-20,2008,4,20,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,11:30:00,375,3,"Jeffie McNeil, Rachel Thibideau, Andree-Anne Halle",None,0,Calm,15,9,"11-10,11",260,0,,41494,Visual survey,335076,4922527,1,Point,10,M,29
2648,2008-04-20,2008,4,20,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,11:30:00,375,3,"Jeffie McNeil, Rachel Thibideau, Andree-Anne Halle",None,0,Calm,15,9,"2,3-3,11",389,0,,41495,Visual survey,335057,4922547,1,Point,10,F,20+
2648,2008-04-20,2008,4,20,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,11:30:00,375,3,"Jeffie McNeil, Rachel Thibideau, Andree-Anne Halle",None,0,Calm,15,9,"2,3-8,9",395,0,,41496,Visual survey,335091,4922537,1,Point,10,F,21
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Radio Tracking,12:45:00,82,2,"Jeffie McNeil, Troy Frech",None,100,Calm,11,11,"2,3-3,10",388,0,,41506,Incidental to radio tracking,334709,4922672,1,Point,10,F,20+
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"1,10-2,11",95,0,,41510,Visual survey,335077,4922523,1,Point,10,M,15
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"2,3-8,9",395,0,,41511,Visual survey,335076,4922526,1,Point,10,F,21
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"2,9-1,9",423,0,,41512,Visual survey,335076,4922526,1,Point,10,M,
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"11-9,11",276,0,,41513,Visual survey,335076,4922526,1,Point,10,F,
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"8-8,9",639,0,,41514,Visual survey,335086,4922513,1,Point,10,M,
2660,2008-05-03,2008,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:35:00,170,2,"Jeffie McNeil, Troy Frech",None,20,Calm,15,14,"2,3-2,10",381,0,,41515,Visual survey,335016,4922447,1,Point,10,F,20+
2671,2008-05-15,2008,5,15,ML (McGowan Lake),WB (West Bog),2M (West Bog 2M),Visual Survey,13:40:00,10,1,Jeffie McNeil,None,0,Calm,0,0,"11-8,10",273,0,,41528,Visual survey,334837,4922455,1,Point,10,F,
2671,2008-05-15,2008,5,15,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:50:00,30,1,Jeffie McNeil,None,0,Calm,0,0,"2,3-8,9",395,0,,41527,Visual survey,335063,4922516,1,Point,10,F,21
2672,2008-05-16,2008,5,16,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:05:00,60,2,"Jeffie McNeil, Lilianne Arsenault",None,5,Calm,21,18,"11-9,11",276,0,,41529,Visual survey,335058,4922518,1,Point,10,F,
2672,2008-05-16,2008,5,16,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:05:00,60,2,"Jeffie McNeil, Lilianne Arsenault",None,5,Calm,21,18,"11-1,2",257,0,,41530,Visual survey,335022,4922442,1,Point,10,M,20+
2684,2008-06-01,2008,6,1,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,17:35:00,40,2,"Troy Frech, Jeffie McNeil, Kim Inglis",None,20,Light,24,23,"8-8,9",639,0,,41544,Visual survey,335054,4922521,1,Point,10,M,
2686,2008-06-03,2008,6,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,17:44:00,42,1,Jeffie McNeil,None,70,Moderate,26,25,"11-1,2",257,0,,41553,Incidental to trapping,334953,4922455,1,Point,10,M,20+
2928,2008-07-13,2008,7,13,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:55:00,5,1,"Jeffie McNeil, Troy Frech",None,10,Light,0,0,"12-1,10",280,0,,41835,Visual survey,334350,4922364,1,Point,10,,2
2954,2008-07-18,2008,7,18,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Visual Survey,11:35:00,10,1,Jeffie McNeil,None,80,Light,25,25,"2,3-3,10",388,0,,41847,Visual survey,334571,4922628,1,Point,10,F,20+
4287,2008-08-19,2008,8,19,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Visual Survey,10:25:00,20,2,"Jeffie McNeil, Harold Clapp, Diane Clapp, Brennan Caverhill, Sherman Boates, Tom Herman, David Morse, Lynn Morse",None,100,Calm,23,21.5,"2,3-3,10",388,0,,50764,Visual survey,334570,4922620,1,Within section,25,F,20+
4351,2008-10-10,2008,10,10,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,16:50:00,15,1,Jeffie McNeil,None,5,Strong,19,16,"8-3,4",633,0,,50805,Visual survey,334857,4922482,1,Point,10,M,20+
4645,2006-05-28,2006,5,28,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Radio Tracking,19:50:00,80,2,"Jeffie McNeil, Troy Frech",None,30,Calm,21,25,"2,3-8,9",395,0,,50967,Incidental to radio tracking,334883,4922388,1,Point,10,F,19
4648,2006-05-29,2006,5,29,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Radio Tracking,17:30:00,30,1,Jeffie McNeil,None,40,Light,28,24,"2,3-9,10",397,0,,50973,Incidental to radio tracking,334591,4922617,1,Point,10,F,23
4648,2006-05-29,2006,5,29,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Set Traps,18:18:00,35,1,Jeffie McNeil,None,40,Light,26,26,"8-8,9",639,0,,50974,Incidental to trapping,334960,4922471,1,Point,10,M,
4648,2006-05-29,2006,5,29,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Set Traps,19:00:00,38,1,Jeffie McNeil,None,40,Light,26,26,"2,3-2,9",386,0,,50975,Incidental to trapping,334783,4922386,1,Point,10,M,
4648,2006-05-29,2006,5,29,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Check Traps,20:43:00,12,1,Jeffie McNeil,None,40,Calm,23,24,"8-8,10",637,0,,50976,Incidental to trapping,334602,4922605,1,Point,10,F,
4658,2006-05-31,2006,5,31,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Check Traps,20:41:00,32,2,"Jeffie McNeil, Tom Herman",None,100,Calm,22,21,"2,3-2,8",385,0,,50995,Incidental to trapping,334821,4922378,1,Within section,100,M,20+
4664,2006-06-01,2006,6,1,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Bait and Check Traps,19:30:00,15,1,Jeffie McNeil,None,70,Calm,22,24,"11-1,2",257,0,,51005,Incidental to trapping,334912,4922405,1,Point,10,M,20+
4669,2006-06-02,2006,6,2,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Check Traps,20:15:00,20,2,"Jeffie McNeil, Troy Frech",Mod - Heavy Rain,100,Calm,19,21,"8-8,10",637,0,,51011,Incidental to trapping,334588,4922598,1,Point,10,F,
10047,2006-06-10,2006,6,10,ML (McGowan Lake),WB (West Bog),SC (South Cove),Radio Tracking,20:35:00,70,2,"Jeffie McNeil, Tom Herman",None,100,Calm,19,20,"11-8,10",273,0,,60032,Incidental to radio tracking,335418,4921445,0,,,F,
10058,2006-06-13,2006,6,13,ML (McGowan Lake),WB (West Bog),BC (West Bog Cove),Radio Tracking,20:50:00,30,2,"Jeffie McNeil, Daniel McNeil",None,20,Calm,22,21,"11-3,9",271,0,,60041,Incidental to radio tracking,334965,4922377,0,,,M,20+
10101,2006-06-28,2006,6,28,ML (McGowan Lake),WB (West Bog),1M (West Bog 1M),Visual Survey,20:25:00,10,1,Jeffie McNeil,None,40,Calm,26,25,"2,3-2,9",386,0,,60071,Visual survey,334789,4922484,0,,,M,
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"2,3-2,11",382,0,,60072,Visual survey,334756,4922700,1,Point,10,F,
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"2,3-3,8",390,0,,60073,Visual survey,334756,4922700,1,Point,10,M,
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"8-8,10",637,0,,60074,Visual survey,334757,4922699,1,Point,10,F,
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"2,3-9,10",397,0,,60075,Visual survey,334760,4922700,1,Point,10,F,26
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"8-9,10",641,0,,60076,Visual survey,334756,4922700,1,Point,10,M,20+
10113,2009-03-26,2009,3,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,13:25:00,260,4,"Jeffie McNeil, Troy Frech, 2 NSCC film students",None,0,Calm,10,6,"8-8,9",639,0,,60077,Visual survey,334756,4922700,1,Point,10,M,
10114,2008-06-06,2008,6,6,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,18:10:00,80,2,"Jeffie McNeil, Troy Frech",None,100,Calm,20,23,"8-8,9",639,0,,60080,Incidental to trapping,,,1,,,M,
10114,2008-06-06,2008,6,6,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,18:10:00,80,2,"Jeffie McNeil, Troy Frech",None,100,Calm,20,23,"11-9,11",276,0,,60084,Incidental to trapping,,,1,,,F,
10116,2009-04-03,2009,4,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,15:30:00,60,2,"Jeffie McNeil, Troy Frech",Light Rain,100,Calm,10,9,"8-8,10",637,0,,60088,Visual survey,334738,4922679,1,Point,10,F,
10116,2009-04-03,2009,4,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,15:30:00,60,2,"Jeffie McNeil, Troy Frech",Light Rain,100,Calm,10,9,"1,3-2,3",155,0,,60089,Visual survey,334754,4922700,1,Point,10,M,11
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:40:00,50,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"2,9-1,9",423,0,,60091,Visual survey,334464,4922393,1,Point,10,M,
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:40:00,50,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"11-2,8",266,0,,60092,Visual survey,334464,4922393,1,Point,10,F,20+
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:40:00,50,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"11-3,8",270,0,,60093,Visual survey,334451,4922387,1,Point,10,M,20+
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:40:00,50,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"11-1,2",257,0,,60094,Visual survey,334434,4922388,1,Point,10,M,20+
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,14:30:00,160,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"2,11-2",338,0,,60090,Visual survey,334464,4922393,1,Point,10,,14
10117,2009-04-16,2009,4,16,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,14:30:00,160,1,"Jeffie McNeil, Alex Langlais, Jonathan Bolduc",None,0,Light,10,0,"11-9,10",275,0,,60095,Visual survey,334457,4922395,1,Point,10,M,20+
10118,2009-04-18,2009,4,18,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:30:00,60,1,"Jeffie McNeil, Troy Frech",None,0,Calm,12,9,"2,10-1,3",304,0,,60102,Visual survey,334462,4922395,1,Point,10,F,20
10118,2009-04-18,2009,4,18,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:30:00,60,1,"Jeffie McNeil, Troy Frech",None,0,Calm,12,9,"11-1,2",257,0,,60103,Visual survey,334438,4922388,1,Point,10,M,20+
10118,2009-04-18,2009,4,18,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:30:00,60,1,"Jeffie McNeil, Troy Frech",None,0,Calm,12,9,0-11,77,0,,60104,Visual survey,334434,4922391,1,Point,10,M,20+
10118,2009-04-18,2009,4,18,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:30:00,60,1,"Jeffie McNeil, Troy Frech",None,0,Calm,12,9,"2,11-2",338,0,,60105,Visual survey,334438,4922388,1,Point,10,,14
10118,2009-04-18,2009,4,18,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,13:30:00,60,1,"Jeffie McNeil, Troy Frech",None,0,Calm,12,9,"11-2,8",266,0,,60106,Visual survey,334450,4922392,1,Point,10,F,20+
